AppTimestamp	AppTimestampReceived	HostTimestamp	HostTimestampReceived	HostTimestampRequest	HostTimestampResponse
12989568	12990550	3494382511	699275260230	699275259248	699275259539	
13092292	13092890	3494485237	699275362570	699275361972	699275362240	
13192645	13193416	3494585622	699275463097	699275462326	699275462656	
13292863	13293476	3494685810	699275563157	699275562544	699275562831	
13393141	13393650	3494786099	699275663330	699275662821	699275663116	
13493113	13493983	3494886070	699275763664	699275762794	699275763079	
13612480	13613162	3495005375	699275882843	699275882161	699275882349	
13714377	13714857	3495107331	699275984537	699275984057	699275984321	
13815742	13816252	3495208711	699276085932	699276085422	699276085720	
14017367	14017802	3495410303	699276287482	699276287047	699276287297	
14423127	14423670	3495816096	699276693350	699276692807	699276693081	
15240449	15241530	3496633471	699277511211	699277510130	699277510488	
16865444	16866109	3498258466	699279135790	699279135125	699279135459	
20111318	20112339	3501504406	699282382019	699282380998	699282381282	
26599104	26600260	3507992361	699288869941	699288868785	699288869117	
36606296	36606986	3517999722	699298876667	699298875977	699298876274	
46614515	46615120	3528008098	699308884799	699308884194	699308884398	
56694744	56695762	3538088580	699318965442	699318964424	699318964720	
66706257	66707220	3548100281	699328976900	699328975937	699328976227	
76762305	76762981	3558156542	699339032661	699339031985	699339032323	
86763396	86764336	3568157821	699349034016	699349033076	699349033372	
96820650	96821290	3578215261	699359090970	699359090330	699359090624	
106862718	106863440	3588257532	699369133119	699369132397	699369132712	
116912005	116912665	3598307014	699379182345	699379181685	699379181969	
126931990	126932641	3608327207	699389202321	699389201670	699389202006	
137024839	137025920	3618420249	699399295600	699399294519	699399294866	
147041411	147042111	3628437052	699409311791	699409311091	699409311429	
157053714	157054420	3638449546	699419324100	699419323394	699419323753	
167081803	167082556	3648477750	699429352236	699429351483	699429351685	
177174146	177174794	3658570361	699439444474	699439443826	699439444145	
187230399	187231477	3668626778	699449501157	699449500079	699449500366	
197257405	197258219	3678653922	699459527899	699459527085	699459527270	
207284597	207285817	3688681435	699469555498	699469554278	699469554645	
217311952	217312818	3698708929	699479582498	699479581632	699479581972	
227338835	227340083	3708735999	699489609763	699489608515	699489608859	
237382115	237382799	3718779433	699499652479	699499651795	699499652009	
247409930	247410993	3728807440	699509680674	699509679611	699509679822	
257509108	257510144	3738906893	699519779824	699519778788	699519779101	
267585199	267585777	3748983116	699529855457	699529854879	699529855134	
277630142	277630636	3759028233	699539900316	699539899822	699539899968	
287679128	287680147	3769077504	699549949827	699549948808	699549949122	
297753577	297754571	3779152122	699560024251	699560023257	699560023560	
307822162	307822950	3789220900	699570092630	699570091842	699570092201	
317873703	317874729	3799272620	699580144409	699580143383	699580143667	
327939134	327939724	3809338206	699590209404	699590208814	699590209063	
337987874	337988552	3819387177	699600258231	699600257553	699600257859	
348069409	348070383	3829468928	699610340063	699610339089	699610339399	
358126910	358127886	3839526632	699620397566	699620396590	699620396911	
368169124	368170162	3849569036	699630439842	699630438804	699630439125	
378241864	378242934	3859641984	699640512614	699640511544	699640511897	
